Competition;Category;Level;Course Title RU;Course Title KK;Course Title EN;Lesson Code;Lesson Title RU;Lesson Title KK;Lesson Title EN;Presentation URL RU;Presentation URL KK;Video URL RU;Video URL KK;Order
FLL;innovation;Beginner;Инновационный проект: Beginner;Инновациялық жоба: Бастауыш;Innovation Project: Beginner;IP-B03;Ресёрч: как исследовать проблему;Зерттеу: мәселені қалай зерттеу керек;Research: How to Investigate a Problem;https://docs.google.com/presentation/d/1UTdwgqr2NOFrXQnGxw7karw35Bd-4KEE/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1qo4gQambIyjDkxgMRoTzsgpfl5r3QPMW/edit;https://youtu.be/a83jhVOPp-E;https://youtu.be/6sMuD1JJeqU;3
FLL;innovation;Beginner;Инновационный проект: Beginner;Инновациялық жоба: Бастауыш;Innovation Project: Beginner;IP-B04;Project Plan и распределение ролей;Project plan және рөлдерді бөлу;Project Plan & Role Distribution;https://docs.google.com/presentation/d/1gyhk_DNbHG4a6QqYEITSpY8goqEWgLOg/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1d6jEncNPDMf0sUvyQ_x9Hf5Dqq13ZGTv/edit;https://youtu.be/vq8_keODaDw;https://youtu.be/WfxeN8wTaIs;4
FLL;innovation;Beginner;Инновационный проект: Beginner;Инновациялық жоба: Бастауыш;Innovation Project: Beginner;IP-B05;Создание прототипа или макета;Прототип немесе макет жасау;Creating a Prototype or Model;https://docs.google.com/presentation/d/1rtbjKEyJ2YMuqnQqK8uSNMewQr4zjlhO/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1JNpAMWjhdztZoAHPkktOAwy4r-VZFjR2/edit;https://youtu.be/V29-ZP9rY-w;https://youtu.be/DF2A1YQibXA;5
FLL;innovation;Beginner;Инновационный проект: Beginner;Инновациялық жоба: Бастауыш;Innovation Project: Beginner;IP-B06;Первая прототип;Алғашқы прототип;First prototype;https://docs.google.com/presentation/d/1yKy4768Bca-Zbc-jX5cnV9F2YP_Ev_R8/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1mCdaK0YAjjtvQGUsS14LD4hcDORUDuwG/edit;https://youtu.be/iljUsC-rmeQ;https://youtu.be/7LHPpRVBxf4;6
FLL;core-values;All Levels;Core Values;Core Values;Core Values;CV-01;6 принципов Core Values;Core Values-тің 6 қағидасы;6 Principles of Core Values;https://docs.google.com/presentation/d/1VT9cnLy_PRpmnpYD_B-_AwHxc4dzO_3X/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/1p3LEF-RZmrX12CRMpjhRAJ4HRRiY-yIJ/edit;https://youtu.be/Hm0NVr3BbOc;https://youtu.be/W9UFJMCesf0;1
FLL;core-values;All Levels;Core Values;Core Values;Core Values;CV-02;CV в рубриках RD и IP;RD және IP рубрикаларындағы CV;CV in RD and IP Rubrics;https://docs.google.com/presentation/d/1ncvHfhfnb2Bg1hsbcfjlommtmB7pYjpA/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/14yvpovv11iEhLv0ECAzuP-By94XDXQwf/edit;https://youtu.be/B4ZI6ZM7-3M     https://youtu.be/-EdUyXHyldY;https://youtu.be/dN4BFhqEsc0    https://youtu.be/3auzZeJJ6j8;2
FLL;core-values;All Levels;Core Values;Core Values;Core Values;CV-03;Командная работа на турнире;Турнирдегі командалық жұмыс;Teamwork at the Tournament;https://docs.google.com/presentation/d/1Ycm9XiYBSQcGuHBEu_37ZcJ8SDPZK7UR/edit?usp=sharing&ouid=109674372095175490244&rtpof=true&sd=true;https://docs.google.com/presentation/d/14NFbJnlIXPExT5MOzqDF2LWCCTYKa3e5/edit;https://youtu.be/pfqpHj-Q8vY;https://youtu.be/Htg3PMePUdg;3
FTC;general;General;Введение в FTC;FTC-ге кіріспе;Introduction to FTC;FTC-01;Ознакомление с FTC;FTC-мен танысу;Introduction to FTC;https://docs.google.com/presentation/d/1JhgFl73TcuMOcRR2oe6mBAOr_1gvex_V/edit;https://docs.google.com/presentation/d/1Qm-tlbaSyj11vkniOQiVjzckjdebi7Vw/edit;;;1
FTC;general;General;Введение в FTC;FTC-ге кіріспе;Introduction to FTC;FTC-02;Создание робота;Робот жасау;Building the Robot;https://docs.google.com/presentation/d/1AezCdTHzdSee-5Ytzcsfbjd2Kc9lwDJ9/edit;https://docs.google.com/presentation/d/1aRnCMWCzjGl0jWO4_8kzvqR1_bLEaYY5/edit;;;2
FTC;general;General;Введение в FTC;FTC-ге кіріспе;Introduction to FTC;FTC-03;Программирование;Бағдарламалау;Programming;https://docs.google.com/presentation/d/1-dJCiZiguvuZxLGVRBRNwF-ueroRYdss/edit;https://docs.google.com/presentation/d/1TMcuuG7EoRbntwDKA-AgpW5-N4yZQmtN/edit;;;3
FTC;general;General;Введение в FTC;FTC-ге кіріспе;Introduction to FTC;FTC-04;Награды FTC;FTC марапаттары;FTC Awards;https://docs.google.com/presentation/d/1fg079BOjCDBJco09qfHl3jZ0BMn24pyj/edit;https://docs.google.com/presentation/d/19cTlpqN46_oy5tIWE-J0iIroVQ8B5i1b/edit;;;4
FGC;general;General;Введение в FGC;FGC-ге кіріспе;Introduction to FGC;FGC-01;Ознакомление с FGC;FGC-мен танысу;Introduction to FGC;https://docs.google.com/presentation/d/1hm9Q_z50AG-Pm0R2DV4OKqdiaFeJsiGy/edit;https://docs.google.com/presentation/d/1R-STx5hsZD5Kv7elGZDjqBe6HMx6a6tG/edit;;;1
FGC;general;General;Введение в FGC;FGC-ге кіріспе;Introduction to FGC;FGC-02;Robot Game;Robot Game;Robot Game;https://docs.google.com/presentation/d/1UxjLhQidQmVRKihT2uS-vJ55Zo_kuhjO/edit;https://docs.google.com/presentation/d/1CHnj90v2rGai7nSQvFi5vzQlhZEDu_GO/edit;;;2
FGC;general;General;Введение в FGC;FGC-ге кіріспе;Introduction to FGC;FGC-03;Game Project;Game Project;Game Project;https://docs.google.com/presentation/d/1zz7w0aSmWAjUhmfMJQZrmMBhsh_kLSPW/edit;https://docs.google.com/presentation/d/11PJgr6iY01ctUMKpc5wxazZ38Pg_Z537/edit;;;3
FGC;general;General;Введение в FGC;FGC-ге кіріспе;Introduction to FGC;FGC-04;Награды и культура;Марапаттар мен мәдениет;Awards and Culture;https://docs.google.com/presentation/d/1S2RduKQd9xR490EiA_1uLBU83cjt3T6J/edit;https://docs.google.com/presentation/d/1Dx7kkftbFFjlJj6sYyjdnagxx-gq-d_c/edit;;;4
